source_key,max_value,vUtil
1094352,1013282517.1037035,0.0
1094352,1013248411.5654894,53.13131313131313
1094352,1013214306.0272752,106.26262626262626
1094352,1013180200.4890611,159.39393939393938
1094352,1013146094.9508469,212.5252525252525
1094352,1013111989.4126328,265.65656565656565
1094352,1013077883.8744186,318.78787878787875
1094352,1013043778.3362045,371.9191919191919
1094352,1013009672.7979903,425.050505050505
1094352,1012975567.2597762,478.18181818181813
1094352,1012941461.721562,531.3131313131313
1094352,1012907356.183348,584.4444444444445
1094352,1012873250.6451339,637.5757575757575
1094352,1012839145.1069196,690.7070707070707
1094352,1012805039.5687056,743.8383838383838
1094352,1012770934.0304914,796.9696969696969
1094352,1012736828.4922773,850.10101010101
1094352,1012702722.954063,903.2323232323232
1094352,1012668617.415849,956.3636363636363
1094352,1012634511.8776348,1009.4949494949494
1094352,1012600406.3394207,1062.6262626262626
1094352,1012566300.8012066,1115.7575757575758
1094352,1012532195.2629924,1168.888888888889
1094352,1012498089.7247783,1222.0202020202019
1094352,1012463984.1865641,1275.151515151515
1094352,1012429878.64835,1328.2828282828282
1094352,1012395773.1101358,1381.4141414141413
1094352,1012361667.5719217,1434.5454545454545
1094352,1012327562.0337075,1487.6767676767677
1094352,1012293456.4954934,1540.8080808080806
1094352,1012259350.9572792,1593.9393939393938
1094352,1012225245.4190651,1647.070707070707
1094352,1012191139.880851,1700.20202020202
1094352,1012157034.3426368,1753.3333333333333
1094352,1012122928.8044227,1806.4646464646464
1094352,1012088823.2662085,1859.5959595959596
1094352,1012054717.7279944,1912.7272727272725
1094352,1012020612.1897802,1965.8585858585857
1094352,1011986506.6515661,2018.9898989898988
1094352,1011952401.113352,2072.121212121212
1094352,1011918295.5751379,2125.252525252525
1094352,1011884190.0369236,2178.3838383838383
1094352,1011850084.4987096,2231.5151515151515
1094352,1011815978.9604955,2284.6464646464647
1094352,1011781873.4222813,2337.777777777778
1094352,1011747767.8840672,2390.9090909090905
1094352,1011713662.345853,2444.0404040404037
1094352,1011679556.8076389,2497.171717171717
1094352,1011645451.2694247,2550.30303030303
1094352,1011611345.7312106,2603.434343434343
1094352,1011577240.1929964,2656.5656565656564
1094352,1011543134.6547823,2709.6969696969695
1094352,1011509029.1165681,2762.8282828282827
1094352,1011474923.578354,2815.959595959596
1094352,1011440818.0401399,2869.090909090909
1094352,1011406712.5019257,2922.222222222222
1094352,1011372606.9637116,2975.3535353535353
1094352,1011338501.4254974,3028.4848484848485
1094352,1011304395.8872833,3081.616161616161
1094352,1011270290.3490691,3134.7474747474744
1094352,1011236184.810855,3187.8787878787875
1094352,1011202079.2726408,3241.0101010101007
1094352,1011167973.7344267,3294.141414141414
1094352,1011133868.1962126,3347.272727272727
1094352,1011099762.6579984,3400.40404040404
1094352,1011065657.1197844,3453.5353535353534
1094352,1011031551.5815701,3506.6666666666665
1094352,1010997446.0433561,3559.7979797979797
1094352,1010963340.5051419,3612.929292929293
1094352,1010929234.9669278,3666.060606060606
1094352,1010895129.4287136,3719.191919191919
1094352,1010861023.8904995,3772.323232323232
1094352,1010826918.3522853,3825.454545454545
1094352,1010792812.8140712,3878.585858585858
1094352,1010758707.2758571,3931.7171717171714
1094352,1010724601.7376429,3984.8484848484845
1094352,1010690496.1994288,4037.9797979797977
1094352,1010656390.6612146,4091.111111111111
1094352,1010622285.1230005,4144.242424242424
1094352,1010588179.5847863,4197.373737373737
1094352,1010554074.0465722,4250.50505050505
1094352,1010519968.508358,4303.636363636363
1094352,1010485862.9701439,4356.767676767677
1094352,1010451757.4319297,4409.898989898989
1094352,1010417651.8937156,4463.030303030303
1094352,1010383546.3555015,4516.161616161616
1094352,1010349440.8172873,4569.292929292929
1094352,1010315335.2790732,4622.424242424242
1094352,1010281229.740859,4675.555555555556
1094352,1010247124.202645,4728.686868686868
1094352,1010213018.6644307,4781.818181818181
1094352,1010178913.1262167,4834.949494949495
1094352,1010144807.5880024,4888.080808080807
1094352,1010110702.0497884,4941.212121212121
1094352,1010076596.5115741,4994.343434343434
1094352,1010042490.9733601,5047.474747474747
1094352,1010008385.435146,5100.60606060606
1094352,1009974279.8969318,5153.737373737374
1094352,1009940174.3587177,5206.868686868686
1094352,1009906068.8205035,5260.0
